 ,Match Link
canterbury_v_otago_plunket_new_day3,https://www.youtube.com/watch?v=I3pQtZenmZg
canterbury_v_otago_plunket_new_day4,https://www.youtube.com/watch?v=0Gqn4XcvTbo
northern_v_central_plunket_new_day1,https://www.youtube.com/watch?v=0mLG7fnzEbI
northern_v_central_plunket_new_day2,https://www.youtube.com/watch?v=ybtQJkB6NUI
northern_v_central_plunket_new_day3,https://www.youtube.com/watch?v=XnQw8s9f100
central_v_auckland_plunket_new_day1,https://www.youtube.com/watch?v=J1puZVxEuUA
central_v_auckland_plunket_new_day2,https://www.youtube.com/watch?v=WLCsN2250KA
central_v_auckland_plunket_new_day3,https://www.youtube.com/watch?v=92Bjkus4fVU
central_v_auckland_plunket_new_day4,https://www.youtube.com/watch?v=0eMQK8mF8R4
northern_v_wellington_plunket2_new_day1,https://www.youtube.com/watch?v=blGBaMtosFs
northern_v_wellington_plunket2_new_day2,https://www.youtube.com/watch?v=nxX-p_N2Izk
northern_v_wellington_plunket2_new_day3,https://www.youtube.com/watch?v=TGUB593__1I
canterbury_v_auckland_plunket_new_day1,https://www.youtube.com/watch?v=AOSkpTuwauY
canterbury_v_auckland_plunket_new_day2,https://www.youtube.com/watch?v=uuuTX32t_Uw
canterbury_v_auckland_plunket_new_day3,https://www.youtube.com/watch?v=sOfsVvjJTIg
canterbury_v_auckland_plunket_new_day4,https://www.youtube.com/watch?v=Xw4DGo3LNOU
